id,time,sentiment,score
464946996873402_1019086668126096,2015-08-20T10:56:26+0000,Negative,99.9999
464946996873402_1019082211459875,2015-08-20T10:43:51+0000,Positive,66.6241
464946996873402_1019082211459875,2015-08-20T10:43:51+0000,Positive,66.6241
464946996873402_1019076118127151,2015-08-20T10:26:28+0000,Positive,88.1348
464946996873402_1019070264794403,2015-08-20T10:06:49+0000,Neutral,50.0000
464946996873402_1018544041513692,2015-08-19T10:52:42+0000,Neutral,56.6257
464946996873402_1019086668126096,2015-08-20T10:56:26+0000,Negative,99.9999
464946996873402_1019062291461867,2015-08-20T09:48:25+0000,Positive,83.2365
464946996873402_10153085837794033,2015-08-20T09:43:27+0000,Neutral,58.3527
464946996873402_1019046668130096,2015-08-20T08:47:28+0000,Neutral,50.0000
464946996873402_10206640388226939,2015-08-20T08:40:48+0000,Negative,100.0000
464946996873402_1019038141464282,2015-08-20T08:08:59+0000,Neutral,60.1103
464946996873402_1019017118133051,2015-08-20T07:02:53+0000,Neutral,50.0000
464946996873402_1040721385939400,2015-08-20T07:01:21+0000,Negative,98.6867
464946996873402_1040718312606374,2015-08-20T06:51:35+0000,Positive,62.6967
464946996873402_10153638918341812,2015-08-20T06:33:40+0000,Positive,62.6220
464946996873402_1019005354800894,2015-08-20T06:13:41+0000,Neutral,50.0000
464946996873402_948321971893690,2015-08-20T06:09:25+0000,Positive,65.4557
464946996873402_1019086668126096,2015-08-20T10:56:26+0000,Negative,99.9999
464946996873402_1019082211459875,2015-08-20T10:43:51+0000,Positive,66.6241
464946996873402_1019076118127151,2015-08-20T10:26:28+0000,Positive,88.1348
464946996873402_1019070264794403,2015-08-20T10:06:49+0000,Neutral,50.0000
464946996873402_1019062291461867,2015-08-20T09:48:25+0000,Positive,83.2365
464946996873402_10153085837794033,2015-08-20T09:43:27+0000,Neutral,58.3527
464946996873402_1019046668130096,2015-08-20T08:47:28+0000,Neutral,50.0000
464946996873402_10206640388226939,2015-08-20T08:40:48+0000,Negative,100.0000
464946996873402_1019038141464282,2015-08-20T08:08:59+0000,Neutral,60.1103
464946996873402_1019017118133051,2015-08-20T07:02:53+0000,Neutral,50.0000
464946996873402_1040721385939400,2015-08-20T07:01:21+0000,Negative,98.6867
464946996873402_1040718312606374,2015-08-20T06:51:35+0000,Positive,62.6967
464946996873402_10153638918341812,2015-08-20T06:33:40+0000,Positive,62.6220
464946996873402_1019005354800894,2015-08-20T06:13:41+0000,Neutral,50.0000
464946996873402_948321971893690,2015-08-20T06:09:25+0000,Positive,65.4557
464946996873402_1019002708134492,2015-08-20T05:59:57+0000,Positive,65.4557
464946996873402_1019002678134495,2015-08-20T05:59:47+0000,Positive,65.4557
464946996873402_1018964901471606,2015-08-20T05:25:42+0000,Neutral,50.0000
464946996873402_1018946474806782,2015-08-20T04:05:44+0000,Neutral,50.0000
