id,time,sentiment,score
624264996713725952,2015-07-23 17:09:08,Positive,85.4883
624264609478807552,2015-07-23 17:07:35,Positive,73.9948
624263760836870144,2015-07-23 17:04:13,Positive,65.2239
623909554040868864,2015-07-22 17:36:44,Positive,63.9101
623552073800396801,2015-07-21 17:56:14,Neutral,58.3314
623194510093254656,2015-07-20 18:15:24,Neutral,50.2781
623028754269405184,2015-07-20 07:16:44,Positive,75.4711
620634349914841088,2015-07-13 16:42:14,Neutral,61.6642
618827410700505088,2015-07-08 17:02:06,Negative,62.4558
618187570707460097,2015-07-06 22:39:36,Neutral,55.6246
618187529154527232,2015-07-06 22:39:26,Positive,98.1490
618106496539209728,2015-07-06 17:17:27,Positive,75.4345
617726868687470596,2015-07-05 16:08:56,Positive,65.1086
617043634689413122,2015-07-03 18:54:01,Positive,62.3253
616816083576590336,2015-07-03 03:49:48,Negative,81.2769
612143385864843264,2015-06-20 06:22:10,Neutral,53.1395
611001317662683136,2015-06-17 02:44:00,Positive,95.9093
610069242377965568,2015-06-14 13:00:16,Neutral,50.0000
607898181876072448,2015-06-08 13:13:15,Positive,73.9658
607016888258805760,2015-06-06 02:51:18,Positive,98.4014
605369584149917696,2015-06-01 13:45:30,Positive,82.0809
600296160826261504,2015-05-18 13:45:32,Neutral,53.9995
596730608807608320,2015-05-08 17:37:18,Neutral,52.8983
595471406319607808,2015-05-05 06:13:41,Positive,99.8897
595428927876767745,2015-05-05 03:24:53,Positive,79.4146
595428343761219584,2015-05-05 03:22:34,Positive,80.0256
595374138119749633,2015-05-04 23:47:10,Positive,86.3522
594678423215153152,2015-05-03 01:42:39,Positive,93.7494
591040849342922753,2015-04-23 00:48:14,Neutral,50.0000
590898824958226432,2015-04-22 15:23:52,Neutral,50.0000
590898733841141762,2015-04-22 15:23:31,Positive,99.8266
590807994138398722,2015-04-22 09:22:57,Neutral,50.0000
590564647461335041,2015-04-21 17:15:58,Neutral,56.1798
590412534273822720,2015-04-21 07:11:32,Neutral,58.6016
590410217738743808,2015-04-21 07:02:19,Neutral,54.1000
590381431257305088,2015-04-21 05:07:56,Neutral,59.9713
590371696005156865,2015-04-21 04:29:15,Neutral,50.4359
590339965340372992,2015-04-21 02:23:10,Neutral,62.1994
590320422379356160,2015-04-21 01:05:30,Positive,68.2501
590320405837058050,2015-04-21 01:05:27,Positive,63.5112
590320372651659264,2015-04-21 01:05:19,Positive,65.0836
590319130596675584,2015-04-21 01:00:22,Neutral,50.0000
590317355193872384,2015-04-21 00:53:19,Positive,99.9929
590316035091271680,2015-04-21 00:48:04,Negative,74.4037
590185967887077376,2015-04-20 16:11:14,Neutral,50.4624
590168074956906496,2015-04-20 15:00:08,Neutral,59.5349
590166917870067713,2015-04-20 14:55:32,Positive,95.7293
589376242090053632,2015-04-18 10:33:40,Positive,86.5422
588758942060126208,2015-04-16 17:40:45,Negative,66.8247
588303880686972928,2015-04-15 11:32:29,Positive,87.3012
587869162002710529,2015-04-14 06:45:04,Neutral,60.7074
587226229247356930,2015-04-12 12:10:17,Neutral,50.0000
587225918512336898,2015-04-12 12:09:03,Positive,98.2144
587192655341162496,2015-04-12 09:56:53,Neutral,50.0000
587191156892536832,2015-04-12 09:50:55,Positive,98.5096
587169496797855744,2015-04-12 08:24:51,Positive,64.1415
587107702377058304,2015-04-12 04:19:18,Positive,85.9708
586942738760761344,2015-04-11 17:23:48,Positive,75.5564
586584715685003264,2015-04-10 17:41:09,Negative,65.1183
586496450063806464,2015-04-10 11:50:24,Neutral,58.3560
586442020039688192,2015-04-10 08:14:07,Positive,77.6901
586412911829979136,2015-04-10 06:18:27,Neutral,50.0000
586093748947288064,2015-04-09 09:10:13,Neutral,58.4586
586093590964604929,2015-04-09 09:09:35,Neutral,50.0000
585474443415257088,2015-04-07 16:09:19,Neutral,50.0000
585137181913669633,2015-04-06 17:49:10,Neutral,50.0000
585108636701220864,2015-04-06 15:55:44,Neutral,50.0000
585107994154770432,2015-04-06 15:53:11,Neutral,50.0000
585107590536892416,2015-04-06 15:51:35,Neutral,50.0000
585047984557072384,2015-04-06 11:54:43,Neutral,56.3266
585034972542533632,2015-04-06 11:03:01,Neutral,56.3266
585028313816510464,2015-04-06 10:36:33,Neutral,50.0000
585025462692225024,2015-04-06 10:25:14,Positive,90.1244
585021843322441729,2015-04-06 10:10:51,Positive,67.7769
585021812171415552,2015-04-06 10:10:43,Neutral,55.2224
585021508881223680,2015-04-06 10:09:31,Neutral,62.1377
585020110890369025,2015-04-06 10:03:58,Neutral,56.3266
585018689788846080,2015-04-06 09:58:19,Neutral,50.0000
585017665036558336,2015-04-06 09:54:15,Neutral,53.4885
585002443403964416,2015-04-06 08:53:45,Negative,72.4388
584682528159563776,2015-04-05 11:42:32,Positive,71.5354
584669861407633409,2015-04-05 10:52:12,Positive,74.3843
584356722380120067,2015-04-04 14:07:54,Positive,82.2804
584036919773761536,2015-04-03 16:57:07,Positive,98.5709
583676322385235969,2015-04-02 17:04:14,Positive,63.9101
583673436502827008,2015-04-02 16:52:46,Positive,95.9694
583517177858228224,2015-04-02 06:31:51,Positive,88.8762
583350414969479168,2015-04-01 19:29:11,Neutral,50.0000
581883870993391616,2015-03-28 18:21:40,Positive,74.6511
581881088370442240,2015-03-28 18:10:36,Positive,65.0878
581792244421783552,2015-03-28 12:17:34,Neutral,54.8508
580771932494155776,2015-03-25 16:43:13,Neutral,54.4587
580755590542049281,2015-03-25 15:38:17,Positive,92.8888
578941949815570432,2015-03-20 15:31:31,Positive,78.8993
578603090825232384,2015-03-19 17:05:01,Positive,69.4240
578590290593783809,2015-03-19 16:14:09,Neutral,50.0000
578244038685372416,2015-03-18 17:18:16,Positive,64.8667
576683469666787328,2015-03-14 09:57:08,Positive,62.5565
576682701102526464,2015-03-14 09:54:04,Neutral,50.0000
576260325130960896,2015-03-13 05:55:42,Positive,80.5561
576232039889788928,2015-03-13 04:03:18,Positive,96.9284
576230004285026304,2015-03-13 03:55:13,Negative,64.1454
573445845611204608,2015-03-05 11:31:58,Positive,65.4641
573324130935701504,2015-03-05 03:28:19,Neutral,51.2231
572078873971572736,2015-03-01 17:00:06,Neutral,50.0000
570935183412580353,2015-02-26 13:15:29,Positive,67.0176
570088666095226880,2015-02-24 05:11:44,Positive,98.5000
569317933995814912,2015-02-22 02:09:07,Neutral,51.6020
569162049135050752,2015-02-21 15:49:41,Neutral,50.0000
569160029531607040,2015-02-21 15:41:40,Positive,98.8498
569158744577171457,2015-02-21 15:36:33,Neutral,51.4447
568937513340923904,2015-02-21 00:57:28,Positive,96.3060
568378356091080704,2015-02-19 11:55:34,Neutral,50.0000
567531977343905792,2015-02-17 03:52:22,Neutral,50.0419
567352625385836544,2015-02-16 15:59:41,Positive,99.4266
566653358199427072,2015-02-14 17:41:03,Positive,94.8184
566558915425337348,2015-02-14 11:25:46,Positive,71.2055
566554945587912704,2015-02-14 11:09:59,Positive,77.8355
566544859985485826,2015-02-14 10:29:55,Neutral,50.0000
566543096276480000,2015-02-14 10:22:54,Positive,78.0828
566543082791780354,2015-02-14 10:22:51,Positive,67.5820
566542208069664768,2015-02-14 10:19:22,Neutral,50.4582
566541384786513920,2015-02-14 10:16:06,Neutral,50.0000
566505386383929344,2015-02-14 07:53:03,Neutral,56.3287
566501382157381632,2015-02-14 07:37:09,Neutral,50.0000
566501325811097600,2015-02-14 07:36:55,Negative,67.7234
566501292671918081,2015-02-14 07:36:47,Neutral,54.5935
566501240289239041,2015-02-14 07:36:35,Negative,67.7234
566501183007629312,2015-02-14 07:36:21,Negative,70.3762
566500418331500544,2015-02-14 07:33:19,Neutral,51.3181
566499951945842688,2015-02-14 07:31:28,Negative,68.3403
566496086131355650,2015-02-14 07:16:06,Negative,68.9943
566494847071047682,2015-02-14 07:11:11,Positive,75.9934
566492435614679041,2015-02-14 07:01:36,Positive,64.8578
566486312065064960,2015-02-14 06:37:16,Negative,72.3708
566484657735098370,2015-02-14 06:30:41,Negative,67.1403
566484312250257409,2015-02-14 06:29:19,Neutral,57.9204
566477360157822978,2015-02-14 06:01:41,Neutral,57.2292
566477286879162370,2015-02-14 06:01:24,Neutral,60.9749
566476099316510720,2015-02-14 05:56:41,Neutral,61.0892
566476027774246913,2015-02-14 05:56:24,Neutral,56.0825
566469626125492224,2015-02-14 05:30:58,Positive,63.0129
566469538154172416,2015-02-14 05:30:37,Neutral,50.0000
566469221614239744,2015-02-14 05:29:21,Neutral,56.2631
566467340158521344,2015-02-14 05:21:53,Negative,69.2849
566466391893499904,2015-02-14 05:18:06,Neutral,50.0000
566460053402578945,2015-02-14 04:52:55,Positive,76.9437
566452344582176768,2015-02-14 04:22:17,Negative,65.7944
566451661493645312,2015-02-14 04:19:34,Positive,96.6255
566447592880365568,2015-02-14 04:03:24,Negative,68.6938
566409002368503811,2015-02-14 01:30:04,Neutral,50.0000
566282276867026944,2015-02-13 17:06:30,Neutral,50.9861
566235541146836992,2015-02-13 14:00:47,Neutral,53.9696
566215066874163200,2015-02-13 12:39:26,Neutral,56.5413
566214073360998400,2015-02-13 12:35:29,Negative,63.9671
566195820647550976,2015-02-13 11:22:57,Neutral,60.3633
566194116229206017,2015-02-13 11:16:11,Neutral,55.7111
566193253171478529,2015-02-13 11:12:45,Positive,81.0439
566192250812502016,2015-02-13 11:08:46,Positive,90.5462
566173344379064321,2015-02-13 09:53:38,Positive,88.6504
566172462413406209,2015-02-13 09:50:08,Positive,85.5244
566170035110940673,2015-02-13 09:40:29,Neutral,50.0000
566169928445595648,2015-02-13 09:40:04,Neutral,50.0000
566142965760794624,2015-02-13 07:52:56,Neutral,58.3314
566099685975142400,2015-02-13 05:00:57,Negative,81.5587
566083194228080640,2015-02-13 03:55:25,Neutral,55.2762
565840174580375552,2015-02-12 11:49:45,Neutral,52.1140
565754137875193856,2015-02-12 06:07:52,Neutral,50.0000
565749682928762880,2015-02-12 05:50:10,Positive,76.0770
565564785186443264,2015-02-11 17:35:27,Positive,99.9581
565366556096749568,2015-02-11 04:27:45,Neutral,54.1000
565364702700904448,2015-02-11 04:20:23,Neutral,61.2137
564765299283476481,2015-02-09 12:38:34,Positive,94.0937
564752659689635840,2015-02-09 11:48:21,Neutral,61.1789
564751884557090816,2015-02-09 11:45:16,Negative,69.7252
564444426349457409,2015-02-08 15:23:32,Positive,69.4869
564379296450355201,2015-02-08 11:04:44,Positive,92.7486
564104560667406336,2015-02-07 16:53:02,Positive,92.6089
563536041793957888,2015-02-06 03:13:57,Positive,71.3679
562996442462453760,2015-02-04 15:29:46,Positive,63.3479
562865648343482369,2015-02-04 06:50:02,Negative,81.2964
561916935575576579,2015-02-01 16:00:12,Negative,75.1079
561814741195038720,2015-02-01 09:14:06,Negative,92.0600
561535702454648833,2015-01-31 14:45:18,Positive,84.1782
558614757712736256,2015-01-23 13:18:31,Positive,93.8351
554293437789257730,2015-01-11 15:07:08,Neutral,51.4505
550675174870110208,2015-01-01 15:29:27,Positive,78.2031
550589880258945024,2015-01-01 09:50:31,Neutral,51.0932
543451080042893315,2014-12-12 17:03:28,Neutral,54.9602
543091772352503808,2014-12-11 17:15:43,Neutral,60.1147
540162856453283840,2014-12-03 15:17:15,Positive,72.0075
539525130234232832,2014-12-01 21:03:09,Negative,82.4571
539084040356102144,2014-11-30 15:50:25,Neutral,50.0000
537283518242377728,2014-11-25 16:35:47,Positive,76.4278
536917742381563904,2014-11-24 16:22:19,Positive,84.8084
535802946311970816,2014-11-21 14:32:31,Neutral,52.3380
535489269624610817,2014-11-20 17:46:05,Neutral,55.4194
535131620152315904,2014-11-19 18:04:55,Neutral,56.4763
535127139050192896,2014-11-19 17:47:06,Neutral,60.7191
534763201703849984,2014-11-18 17:40:57,Positive,91.0159
534523528544923648,2014-11-18 01:48:34,Positive,67.4683
534372287189749762,2014-11-17 15:47:36,Negative,67.5213
533459777762762752,2014-11-15 03:21:36,Neutral,56.4763
533429205980037120,2014-11-15 01:20:08,Positive,66.5141
533189655206690816,2014-11-14 09:28:14,Neutral,56.1774
532949616199618560,2014-11-13 17:34:24,Positive,95.0886
532238932277096450,2014-11-11 18:30:24,Neutral,59.5382
532100989642215425,2014-11-11 09:22:16,Positive,93.1851
530053780947996672,2014-11-05 17:47:23,Neutral,60.9222
527509183139033088,2014-10-29 17:16:04,Positive,87.4977
524627014951501825,2014-10-21 18:23:22,Neutral,50.0000
524249366844821504,2014-10-20 17:22:43,Positive,78.3158
523709375412572160,2014-10-19 05:36:59,Neutral,51.8843
523178639198679040,2014-10-17 18:28:02,Positive,98.6202
522184912942534657,2014-10-15 00:39:19,Neutral,51.4686
522002891175759874,2014-10-14 12:36:02,Neutral,55.4855
522000525902897153,2014-10-14 12:26:38,Negative,76.7464
521558264236875776,2014-10-13 07:09:14,Neutral,57.6031
521011540913188864,2014-10-11 18:56:45,Neutral,55.6237
519458637924663296,2014-10-07 12:06:05,Positive,87.9466
519454858215047169,2014-10-07 11:51:03,Positive,83.3321
517365451299758080,2014-10-01 17:28:30,Positive,88.6804
517259725227163648,2014-10-01 10:28:23,Positive,99.1260
515025790010793984,2014-09-25 06:31:31,Positive,84.0007
514467494359097344,2014-09-23 17:33:03,Positive,98.6538
514222059585429504,2014-09-23 01:17:47,Negative,80.6098
509297997193035776,2014-09-09 11:11:19,Positive,97.1585
