id,time,sentiment,score
634699952271155200,2015-08-21 12:13:55,Positive,87.6628
634687149539921920,2015-08-21 11:23:03,Positive,99.5173
634570783797342208,2015-08-21 03:40:39,Positive,89.4457
634534466778759174,2015-08-21 01:16:20,Neutral,51.0758
634331748885663744,2015-08-20 11:50:48,Negative,68.5690
634294904479285248,2015-08-20 09:24:24,Positive,81.7139
634168060681674753,2015-08-20 01:00:22,Negative,94.9043
634031918984523776,2015-08-19 15:59:23,Negative,86.3416
633964799005593600,2015-08-19 11:32:41,Neutral,53.8184
633872167143256064,2015-08-19 05:24:36,Negative,92.7455
633859123096850433,2015-08-19 04:32:46,Positive,62.8826
633691131415408640,2015-08-18 17:25:13,Negative,69.4718
633602814653038592,2015-08-18 11:34:17,Negative,87.4903
633598904584409088,2015-08-18 11:18:45,Neutral,53.3139
633499677464264704,2015-08-18 04:44:27,Positive,90.0200
633472337128484864,2015-08-18 02:55:49,Positive,85.1621
633457628857761793,2015-08-18 01:57:22,Positive,88.1510
633325981139230720,2015-08-17 17:14:15,Positive,99.7767
633320964151873536,2015-08-17 16:54:19,Positive,88.1332
633306789543456768,2015-08-17 15:57:59,Positive,76.7444
633268817502670848,2015-08-17 13:27:06,Neutral,56.2551
633250088572194816,2015-08-17 12:12:40,Positive,92.0995
633184101785145344,2015-08-17 07:50:28,Positive,77.7132
633164995090518016,2015-08-17 06:34:33,Positive,74.7085
633142409979801601,2015-08-17 05:04:48,Positive,95.7242
633118326420475905,2015-08-17 03:29:06,Neutral,58.5718
633106539130175488,2015-08-17 02:42:16,Positive,73.8820
632884679620714496,2015-08-16 12:00:40,Positive,79.2415
632754115295100928,2015-08-16 03:21:51,Neutral,58.9008
632750696551452672,2015-08-16 03:08:16,Positive,98.4154
632543496277110785,2015-08-15 13:24:56,Positive,94.7634
632536849450270720,2015-08-15 12:58:31,Negative,63.2540
632527191629139968,2015-08-15 12:20:08,Positive,63.0275
632469938830114816,2015-08-15 08:32:38,Neutral,51.2379
632452047330152448,2015-08-15 07:21:33,Positive,92.8558
632451489441574912,2015-08-15 07:19:20,Positive,87.3797
632425206905114625,2015-08-15 05:34:53,Positive,99.2257
632423626189307904,2015-08-15 05:28:37,Positive,87.2775
632418883731722240,2015-08-15 05:09:46,Positive,87.5770
632404783681277952,2015-08-15 04:13:44,Positive,88.2728
632402799070834688,2015-08-15 04:05:51,Positive,67.8873
632389636451471360,2015-08-15 03:13:33,Positive,94.3224
632384121562525697,2015-08-15 02:51:38,Neutral,50.0000
632381533798596608,2015-08-15 02:41:21,Positive,92.1883
632378915286224896,2015-08-15 02:30:57,Positive,99.5856
632375844061601792,2015-08-15 02:18:44,Positive,98.3716
632179572415426560,2015-08-14 13:18:50,Positive,99.5312
632176216322080768,2015-08-14 13:05:29,Positive,88.0395
632132085801574400,2015-08-14 10:10:08,Positive,97.4291
632131458103050240,2015-08-14 10:07:38,Positive,69.6501
632088936181923840,2015-08-14 07:18:40,Positive,97.5381
632070393772179456,2015-08-14 06:04:59,Positive,85.1619
632069364561244160,2015-08-14 06:00:54,Positive,86.5107
632017977198559232,2015-08-14 02:36:42,Positive,67.6268
632008557806747648,2015-08-14 01:59:16,Positive,68.0256
631834247016255488,2015-08-13 14:26:38,Positive,95.5144
631831452858978305,2015-08-13 14:15:31,Neutral,52.8596
631817447109058561,2015-08-13 13:19:52,Positive,64.4483
631813386326577152,2015-08-13 13:03:44,Positive,95.2739
631673316458168320,2015-08-13 03:47:09,Positive,77.5460
631665734309908480,2015-08-13 03:17:01,Neutral,58.5651
631629102840070144,2015-08-13 00:51:27,Neutral,55.4693
631628152347869185,2015-08-13 00:47:41,Neutral,51.4686
631628105312940032,2015-08-13 00:47:30,Positive,94.6073
631505285153067008,2015-08-12 16:39:27,Neutral,53.6484
631467695905452032,2015-08-12 14:10:05,Positive,82.9752
631446096884051968,2015-08-12 12:44:15,Positive,89.3796
631429069804998656,2015-08-12 11:36:36,Neutral,50.0000
631429015711055873,2015-08-12 11:36:23,Neutral,50.0000
631409645383364608,2015-08-12 10:19:25,Positive,97.4431
631345524558266368,2015-08-12 06:04:37,Positive,92.1459
631318202157404160,2015-08-12 04:16:03,Positive,82.8294
631307393645678592,2015-08-12 03:33:06,Positive,99.8905
631099696623136768,2015-08-11 13:47:47,Neutral,51.2572
631074697250107392,2015-08-11 12:08:27,Neutral,57.7400
630983620035940352,2015-08-11 06:06:32,Positive,87.1511
630951235860889600,2015-08-11 03:57:51,Positive,64.0347
630736050361495552,2015-08-10 13:42:47,Positive,76.3831
630714887845445635,2015-08-10 12:18:42,Positive,69.4811
630636213561458688,2015-08-10 07:06:04,Negative,65.8442
630634850815377408,2015-08-10 07:00:39,Negative,89.6861
630628771255554048,2015-08-10 06:36:30,Neutral,58.8861
630381191762309121,2015-08-09 14:12:42,Positive,86.5324
630379238038745089,2015-08-09 14:04:56,Positive,89.6711
630347682532294657,2015-08-09 11:59:33,Neutral,58.6726
630280708875878406,2015-08-09 07:33:25,Positive,97.1384
630237658443165696,2015-08-09 04:42:21,Positive,69.9222
630212448549605376,2015-08-09 03:02:11,Positive,96.9169
630203837287022592,2015-08-09 02:27:58,Neutral,60.9706
630043125336010752,2015-08-08 15:49:21,Positive,97.9451
629972158391783424,2015-08-08 11:07:21,Positive,91.0560
629961261548109824,2015-08-08 10:24:03,Neutral,50.6877
629953948481294336,2015-08-08 09:54:59,Positive,69.9768
629803376545366016,2015-08-07 23:56:40,Positive,85.4011
629681784859430912,2015-08-07 15:53:31,Neutral,55.4953
629674601723748352,2015-08-07 15:24:58,Neutral,55.8261
629659954459185152,2015-08-07 14:26:46,Neutral,59.9924
629629284647202816,2015-08-07 12:24:54,Positive,67.3756
629595512203689984,2015-08-07 10:10:42,Negative,69.4968
629593632694112256,2015-08-07 10:03:13,Neutral,56.3854
629589427346518016,2015-08-07 09:46:31,Negative,90.6055
629585241611481088,2015-08-07 09:29:53,Negative,80.1418
629582606967816192,2015-08-07 09:19:25,Positive,74.9973
629556003902615552,2015-08-07 07:33:42,Positive,76.2745
629529417635622916,2015-08-07 05:48:03,Positive,65.0787
629496035992170498,2015-08-07 03:35:25,Neutral,55.0233
629315993748111360,2015-08-06 15:39:59,Positive,99.8124
629163826919792641,2015-08-06 05:35:20,Positive,73.8204
629162762627747840,2015-08-06 05:31:06,Neutral,60.1391
629161931786432514,2015-08-06 05:27:48,Positive,66.8581
629129243046182912,2015-08-06 03:17:54,Positive,65.4908
629127962068058112,2015-08-06 03:12:49,Positive,73.4679
629103746316828672,2015-08-06 01:36:35,Neutral,56.8476
628974259696590848,2015-08-05 17:02:03,Negative,68.2808
628962599900590080,2015-08-05 16:15:44,Positive,86.6401
628847552637501440,2015-08-05 08:38:34,Neutral,54.6628
628722072991088640,2015-08-05 00:19:57,Positive,74.5228
628512761442492416,2015-08-04 10:28:14,Negative,87.1848
628494372460298242,2015-08-04 09:15:09,Positive,80.5848
628446659698003969,2015-08-04 06:05:34,Positive,94.8681
628437047703801856,2015-08-04 05:27:22,Neutral,53.3054
628427998161559552,2015-08-04 04:51:25,Positive,93.2948
628393423989444609,2015-08-04 02:34:01,Positive,86.7438
628242035414204416,2015-08-03 16:32:28,Neutral,59.6163
628237616551297024,2015-08-03 16:14:54,Negative,70.9449
628234354343350272,2015-08-03 16:01:56,Neutral,51.4447
628232558724059138,2015-08-03 15:54:48,Negative,93.4727
628207870429888512,2015-08-03 14:16:42,Positive,72.8979
628205818991632385,2015-08-03 14:08:33,Negative,99.3466
628185664593395713,2015-08-03 12:48:28,Negative,74.2474
628181056663912448,2015-08-03 12:30:09,Positive,72.6172
628156391182635009,2015-08-03 10:52:08,Positive,65.7822
628120937271930880,2015-08-03 08:31:16,Positive,93.0052
628118626675994624,2015-08-03 08:22:05,Negative,94.4693
628116377795080192,2015-08-03 08:13:08,Positive,64.8366
628062707430719489,2015-08-03 04:39:52,Negative,83.7223
628053868346081281,2015-08-03 04:04:45,Positive,78.8182
627892894234324993,2015-08-02 17:25:06,Neutral,58.9356
627887235459756032,2015-08-02 17:02:37,Negative,82.6310
627861605934444544,2015-08-02 15:20:46,Positive,85.9265
627792079117156352,2015-08-02 10:44:30,Positive,76.7758
627788230394380288,2015-08-02 10:29:12,Negative,94.7364
627681809308844032,2015-08-02 03:26:19,Negative,64.7404
627674998501609472,2015-08-02 02:59:15,Neutral,59.9870
627522176296456196,2015-08-01 16:52:00,Positive,70.5309
627368161315172352,2015-08-01 06:40:00,Positive,97.7830
627337056394477568,2015-08-01 04:36:24,Negative,82.4081
627328242156900352,2015-08-01 04:01:22,Positive,69.3206
627118331858808833,2015-07-31 14:07:16,Positive,76.2422
627087611534807040,2015-07-31 12:05:11,Positive,90.1990
627049947402113024,2015-07-31 09:35:32,Positive,74.4076
627035948262383616,2015-07-31 08:39:54,Positive,99.7831
626775790126960641,2015-07-30 15:26:07,Positive,89.0514
626730172889235456,2015-07-30 12:24:51,Neutral,59.2031
626665976814108672,2015-07-30 08:09:46,Neutral,50.0000
626665897495670784,2015-07-30 08:09:27,Neutral,50.0000
626636667437187072,2015-07-30 06:13:18,Positive,98.2106
626592548690071553,2015-07-30 03:17:59,Positive,89.1346
626577629726904320,2015-07-30 02:18:42,Negative,86.7901
626571523927642112,2015-07-30 01:54:27,Positive,80.8937
626443951604523008,2015-07-29 17:27:31,Positive,93.2394
626435036682653696,2015-07-29 16:52:06,Negative,79.8299
626428121990848512,2015-07-29 16:24:37,Positive,95.4122
626398994348924928,2015-07-29 14:28:52,Positive,98.7131
626393911049629696,2015-07-29 14:08:40,Positive,96.6709
626374155177365504,2015-07-29 12:50:10,Negative,75.4664
626365620305596416,2015-07-29 12:16:15,Neutral,58.6613
626364153070915588,2015-07-29 12:10:26,Negative,76.9070
626363734957559808,2015-07-29 12:08:46,Positive,65.3838
626359502376321024,2015-07-29 11:51:57,Negative,99.1042
626356720147632128,2015-07-29 11:40:53,Negative,80.8151
626337678418558976,2015-07-29 10:25:13,Neutral,53.4515
626322953475457024,2015-07-29 09:26:43,Positive,99.8314
626275955196071937,2015-07-29 06:19:58,Neutral,54.8999
626269067867860992,2015-07-29 05:52:35,Positive,66.3039
626261212334952448,2015-07-29 05:21:23,Positive,68.2663
